id,title,description,link,image_link,availability,price,brand,condition,google_product_category
CCOT021,Hand-Painted Srikalahasti Pen Kalamkari Cotton Silk dupattas Saree (CCOT021),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT021). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton Silk dupattas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-silk-dupattas-saree-ccot021,https://lh3.googleusercontent.com/d/1JwTcqE5_Pa8FPA7hP0vx6pQa8e-4Vs35=w1200,in_stock,1500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT022,Hand-Painted Srikalahasti Pen Kalamkari Cotton Silk dupattas Saree (CCOT022),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT022). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton Silk dupattas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-silk-dupattas-saree-ccot022,https://lh3.googleusercontent.com/d/1gM0C5sqqsNS90_mki-6CmsN6qZykMLY8=w1200,in_stock,1500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT023,Hand-Painted Srikalahasti Pen Kalamkari Cotton Silk dupattas Saree (CCOT023),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT023). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton Silk dupattas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-silk-dupattas-saree-ccot023,https://lh3.googleusercontent.com/d/1R9Zf88sZDnxt0Y3Phz9DjhIe7axtiDao=w1200,in_stock,1500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT024,Hand-Painted Srikalahasti Pen Kalamkari Cotton Silk dupattas Saree (CCOT024),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT024). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton Silk dupattas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-silk-dupattas-saree-ccot024,https://lh3.googleusercontent.com/d/1iwJKn6cgtOFg3uqL8WjjNuP65pecveHy=w1200,in_stock,1500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT025,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT025),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT025). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot025,https://lh3.googleusercontent.com/d/1p3mq7a4A1zQ5qyT7k3CpF3hspLU2uS0x=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT026,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT026),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT026). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot026,https://lh3.googleusercontent.com/d/13powzo8NxRy172lC2HNvUhR_d34jPPSv=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT013,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT013),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT013). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot013,https://lh3.googleusercontent.com/d/1Fl9sbeORCLzDwbUDjdPwthho8ZZVV-_3=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT014,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT014),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT014). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot014,https://lh3.googleusercontent.com/d/1oCYiKgxbgOA6_Gcc_GV-2_a9RDREeg6m=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT015,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT015),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT015). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot015,https://lh3.googleusercontent.com/d/1iV4cG-pMox1U_kFH6V5nOzWco-kdWAVT=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT016,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT016),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT016). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot016,https://lh3.googleusercontent.com/d/1UqA_6zeCQBZt6fRIBUGiBLY_SbNuyg8H=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT017,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT017),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT017). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot017,https://lh3.googleusercontent.com/d/1rYs0ODRlJXVxwFEBGrP_2FyBDyJpDNq7=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT018,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT018),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT018). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot018,https://lh3.googleusercontent.com/d/14QzWc28C9apd-S8cdD5QaRBSEWsU1TpH=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT011,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT011),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT011). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot011,https://lh3.googleusercontent.com/d/1Qt2DhGL2-VLm8Hu5U7VA_CuTR9E691-l=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT012,Hand-Painted Srikalahasti Pen Kalamkari Cotton black and white Sarees Saree (CCOT012),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT012). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Cotton black and white Sarees. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-cotton-black-and-white-sarees-saree-ccot012,https://lh3.googleusercontent.com/d/1gPtqOnjUOXG1E-2jVXMoW9dNlsuSv0Jn=w1200,in_stock,3500 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT006,Hand-Painted Srikalahasti Pen Kalamkari Pure Cotton Black&white Duppatas Saree (CCOT006),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT006). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Pure Cotton Black&white Duppatas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-pure-cotton-black-white-duppatas-saree-ccot006,https://lh3.googleusercontent.com/d/1dubCPBlqcmLzELQdUiq1Bk_5laq_-nNo=w1200,in_stock,950 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
CCOT008,Hand-Painted Srikalahasti Pen Kalamkari Pure Cotton Black&white Duppatas Saree (CCOT008),"Authentic 100% hand-painted Srikalahasti Pen Kalamkari pure silk saree (Code: CCOT008). Handcrafted with bamboo pens and natural organic vegetable mineral dyes in Srikalahasti, Andhra Pradesh. Fabric: Pure Cotton Black&white Duppatas. Direct from Dhanalakshmi Kalamkari master workshop.",https://www.dhanalakshmikalamkari.in/?product=hand-painted-srikalahasti-pen-kalamkari-pure-cotton-black-white-duppatas-saree-ccot008,https://lh3.googleusercontent.com/d/14Kht9IybtNfqU3CeypzXTxul6KAzRCuH=w1200,in_stock,950 INR,Dhanalakshmi Kalamkari,new,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Sarees
